year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2024,17 - Beaulieu/Grey/Boisy,3278,124,579,832,839,659,210,35,0.2145,0.0747
2024,2 - Maupas/Valency,8277,1244,2771,2612,1025,349,213,63,0.4851,0.0333
2024,3 - Sébeillon/Malley,6277,876,1560,2081,1026,524,155,55,0.3881,0.0335
2024,4 - Montoie/Bourdonette,4072,614,1140,1378,663,180,73,24,0.4307,0.0238
2024,5 - Montriond/Cour,4845,594,1050,1523,877,394,255,152,0.3393,0.084
2024,6 - Sous-Gare/Ouchy,6548,962,1529,1712,1115,631,385,214,0.3804,0.0915
2024,7 - Montchoisi,2300,250,636,785,312,130,125,62,0.3852,0.0813
2024,8 - Florimont/Chissiez,3304,412,771,770,488,264,359,240,0.3581,0.1813
2024,9 - Mousquines/Bellevue,1452,111,240,334,207,148,224,188,0.2417,0.2837
2024,90 - Zones foraines,1804,119,247,250,269,232,389,298,0.2029,0.3808
